Unnamed: 0,fecha,HORA declarada,Ruta,OperadOR,flight_no,route,ac_type,registration,cn_ln,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,_year,fallecidos_porcentaje
4004,1996-01-08,12:43,"Kinshasa, Zaire",African Air,?,Kinshasa - Kahemba,Antonov AN-32B,RA-26222,2301,6,0,6,2,0,2,225,"The aircraft failed to gain altitude after taking off from N'Dolo Airport and ran off the runway and crashed into a market square. The plane was overloaded by 595 lbs. The aircraft certification was revoked and crew did not have authorization to fly. The number killed on the ground varies widely from different sources. The number of fatalities, 225, is derived from the publication Weekly Mail and Guardian in an article covering the court trial of the pilots, charging them with the deaths of 225 people. Some sources quote as many as 350 died.",1996,33.33
4013,1996-02-27,05:40,"Near Lukapa, Angola",Aero Tropical,?,Ludana - Lukapa,Antonov 12BP,ER-ACE,402812,8,3,5,8,3,5,0,The cargo plane crashed in rain and poor visibility while on approach.,1996,100.0
4021,1996-05-03,22:00,"Near Haj Yousif, Sudan",Federal Airlines,?,Wadi Halfa - Khartoum,Antonov AN-24,ST-FAG,STFA001,53,48,5,53,48,5,0,"After a number of failed landing attempts during a sandstorm, the aircraft made a forced landing in a local suburb crashing into a building.",1996,100.0
4049,1996-10-06,00:00,"Lukapa, Angola",Savanair,?,?,Antonov 12B,RA-11101,01347703,19,13,6,6,5,1,0,While attempting to land the landing lights malfunctioned causing the cargo plane to veer off the runway and crash into a house.,1996,31.58
4050,1996-10-08,10:50,"San Francesco al Campo, Italy",Aeroflot,9981,"Moscow - Turin, Italy",Antonov An-124,RA-82069,9773053359122,23,0,23,2,0,2,2,"The cargo plane struck trees and a house while making a second attempt to land. Poor communication and lack of training for the crew. Poor planning approach, the decision to leave late in the second round. Structural deficiencies in engine control.",1996,8.7
4058,1996-11-14,13:02,"Bolchaïa Pyssa, Russia",Komi Avia,?,Most Pyssa - Koslan,Antonov AN-2,RA-40309,1G221-39,15,13,2,14,13,1,0,Lost altitude and crashed while en route in poor weather. Stall of the left wing due to icing.,1996,93.33
4067,1996-12-21,22:32,"Rio Negro, Colombia",SELVA,?,Bogota - Medellin,Antonov An-32B,HK-4008X,3402,4,1,3,4,1,3,0,The cargo plane crashed short of the runway while attempting to land.,1996,100.0
4080,1997-03-12,00:00,"Lucapa, Angola",ALADA,?,Luanda - Lucapa,Antonov AN-12B,D2-FVG,6344506,16,12,4,16,12,4,0,Crashed short of the runway in dense fog while attempting to land a second time at Lucapa.,1997,100.0
4082,1997-03-18,10:04,"Cherkessk, Russia",Stavropol Airlines,1023,Stavropol - Trabzon,Antonov AN-24RV,RA-46516,37308502,50,44,6,50,44,6,0,"The aircraft lost altitude from FL 197 and crashed into a forest while en route from Stavropol, Russia to Trabzon, Turkey. Reports indicated that an in-flight  fire and an explosion led to the separation of the tail section prior to the crash. Superficial mechanical inspection of the aircraft which was carried out without the use of monitoring instruments and subsequent unjustified decision to extend the time between overhauls.  Inadequate monitoring to determine the state of structural elements and detect the presence of corrosion in hard-to-reach areas under the floor of the fuselage. Failure to carry out prescribed anti-corrosion measures on the aircraft structure during overhaul.",1997,100.0
4097,1997-07-11,21:55,"Off Santiago de Cuba, Cuba",Cubana de Aviacion,787,Santiago de Cuba - Havana,Antonov AN-24,CU-T1262,27307610,44,39,5,44,39,5,0,The plane crashed into the ocean 4 miles off the coast shortly after takeoff. Possible failure of the left engine during takeoff.,1997,100.0
4124,1997-12-27,00:00,"Atlantic Ocean, off Angola",Renan Airways,?,"Abidjan - Rundu, Nambia",Antonov An-72,ER-ACF,36572094888,5,0,5,5,0,5,0,Went missing while en route. May have been shot down.,1997,100.0
4132,1998-02-04,22:17,"Terceira, Portugal",Air Luxor,?,Terceira - Lisbon,Antonov 12BP,LZ-SFG,3341605,7,0,7,7,0,7,0,"Shortly after taking off the plane lost power in the No. 3 engine followed by the No. 4 engine. The plane rolled to the right, stalled, entered an spin and crashed.",1998,100.0
4140,1998-03-28,09:35,"Piura, Peru",Fuerza Aérea del Peru,388,Tumbes - Piura,Antonov AN-32,OB-1388,1203,55,50,5,22,22,0,1,A Peruvian air force plane carrying villagers stranded by flooding crashed while attempting to land at Piura Airport. The pilot tried to glide the plane after losing an engine but crashed near a shantytown 2 kilometers from the airport. The plane began losing altitude after an engine failed and crashed into a drainage canal and broke in two. Engine failure.,1998,40.0
4160,1998-08-11,00:00,"Saurimo, Angola",Alada,?,?,Antonov An-12BP,D2-FAZ,8345601,13,6,7,1,0,1,0,Blew a tire while landing causing the plane to to run off the runway and crash.,1998,7.69
4167,1998-09-02,00:00,Angola,Permaviatrans,?,?,Antonov AN-26,RA-26028,10408,24,20,4,24,20,4,0,Shot down by UNITA rebels 30 minutes after taking off.,1998,100.0
4172,1998-09-29,13:50,"Off Mannar, Sri Lanka",Lionair,602,Jaffna - Colombo,Antonov AN-24RV,EW-46465,27307901,55,48,7,55,48,7,0,"Ten minutes after taking off from Jaffna, the plane disappeared from radar. The aircraft crashed into the sea 35 nm north of Mannar. The plane was shot down by LTTE (Liberation Tigers of Tamil Eelam) rebels.",1998,100.0
4178,1998-11-11,11:22,"Near Krasnoyarsk, Russia",Sakha Airlines,?,Krasnoyarsk - Mirny,Antonov AN-12,RA-12955,08345506,13,7,6,13,7,6,0,"The aircraft, carrying freight and seven passengers, crashed and burned, 25 km from Krasnoyarsk, 4 minutes after taking off in a snowstorm. Icing.",1998,100.0
4182,1998-12-14,00:00,"Near Cuito, Angola",Khors Aircompany,?,?,Antonov AN-12BP,UR-11319,4342510,11,6,5,11,6,5,0,The leased aircraft was shot down by UNITA rebels as it flew at FL 150 carrying relief supplies.,1998,100.0
4183,1998-12-17,00:00,"Saurimo, Angola",Zanex,?,Luanda - Saurimo,Antonov 12,S9-SAT,12357,10,2,8,1,?,?,0,"After encountering a vehicle on the runway, the crew attempted a go-around but the aircraft touched down in a nose-high attitude and crashed.",1998,10.0
4184,1998-12-22,00:15,"Medellín, Colombia",SELVA,?,Bogotá - Medellín,Antonov 32B,HK-3930X,3309,5,2,3,5,2,3,0,The cargo plane crashed in fog and poor visibility while attempting to land.,1998,100.0
4191,1999-01-21,08:10,"Bluefields, Nicaragua",Fuerza Aérea Nicaragua,?,Managua - Bluefields,Antonov AN-26,?,?,28,21,7,28,21,7,0,"The plane, on a relief mission to Bluefields was waved off from landing because of a blocked runway. While navigating around for another landing attempt, the aircraft crashed into mountainous terrain.",1999,100.0
4192,1999-02-02,05:08,"Luanda, Angola",Savannair,?,Luanda - Lucapa,Antonov AN-12,EL-ASS,3340909,14,10,4,14,10,4,13,"The plane was on a flight to Lucapa, when it was forced to return to Luanda due to engine trouble. While approaching Luanda, the aircraft crashed into the Cazenga district of Luanda destroying five houses.",1999,100.0
4213,1999-07-01,00:00,"Luzamba, Angola",Savanair,?,Huambo - Luanda,Antonov 12B,TN-AFR,8345502,5,0,5,1,0,1,0,The cargo plane was shot down by UNITA rebels.,1999,20.0
4247,1999-12-29,00:00,"Near Zonguldak, Turkey",Ecuato Guineana de Aviacion,?,"Kiev, Russia - Tehran, Iran",Antonov 28,3C-JJI,?,6,4,2,6,4,2,0,While on a positioning flight the aircraft crashed into the Black Sea after stating they were diverting to Ankara Turkey.,1999,100.0
4261,2000-03-24,18:04,"Kadirana, Sri Lanka",Sky Cabs,?,Bangkok - Colombo,Antonov AN-12 (freighter),RA-11302,8346004,8,0,8,6,0,6,2,"The pilot -in-command made two requests to land because he was low on fuel. While attempting to land, he ran out of fuel and crashed short of the runway. The Cargo plane broke into four parts and crashed into houses.",2000,75.0
4262,2000-03-25,00:00,"Huambo, Angola",Uralex,?,Huambo - Luanda,Antonov AN-32,D2-MAJ,ZZX3201,33,29,4,3,3,0,0,"The aircraft, leased from a Ukrainian company, overran they runway and crashed into a ditch after an aborted takeoff. Brake failure as the pilot attempted to avoid a hole in the runway.",2000,9.09
4293,2000-08-12,00:00,"Near Tshikapa, Congo",Staer Air,?,Kinshasa - Tshikapa,Antonov AN-26B,9Q-CJI,6004,27,21,6,27,21,6,0,The plane was approaching Tshikapa and the pilot informed the tower that it was having difficulties with its landing gear. The tower told the pilot to do a low fly-by for an evaluation and then make an emergency landing but the pilot refused and attempted to return to Kinshasa. The plane crashed 40 miles north of Tshikapa.,2000,100.0
4305,2000-10-31,11:27,"Near Monaquimbundo, Angola",Aca-Ancargo,?,Saurimo - Luanda,Antonov AN-26,D2-FDI,27312009,44,39,5,44,39,5,0,The aircraft exploded in midair 20 minutes after taking off from Saurimo. UNITA rebels claimed they shot down the plane.,2000,100.0
4306,2000-11-07,00:00,"Luabo, Democratic Republic Congo",Malu Aviation,?,?,Antonov 32B,ER-AFA,3406,11,5,6,2,1,1,0,"Due to a blown tire on takeoff the pilot aborted the takeoff, overran the runway, came to rest in a cemetery and caught fire.",2000,18.18
4308,2000-11-15,13:05,"Near Luanda, Angola",Asa Pesada,?,Luanda - Namibe,Antonov AN-26,D2-FCG,PESA001,57,52,5,57,52,5,0,The plane crashed and exploded in flames into an open field 3 miles from the runway shortly after takeoff.  Engine failure.,2000,100.0
4337,2001-07-12,12:05,"Near Puerto Cabello, Venezuela",Private - Overtec Company,?,Puerto Cabello - Caracas,Antonov AN-28 PZL-Mielec M-28 Sky Truck,YV-117CP,AJE 001-10,13,10,3,13,10,3,0,The aircraft crashed and burned moments after taking off from General Bartholomew Salóm Airport during a National Guard demonstration. The right engine appeared to have failed at a critical stage in the takeoff. There were 8 civilians and 5 military personnel board.,2001,100.0
4341,2001-08-23,00:00,"Mugogo, Democratic Republic Congo",Victoria Airlines,?,Kama - Kapmene,Antonov 28,3C-LLA,1AJ005-22,11,9,2,4,2,2,0,After an engine failed the crew declared an emergency and elected to divert to Bukavu but crashed 10 km short of the airport.,2001,36.36
4362,2001-11-23,18:35,"Palade, Estonia",ELK Aviation Co. (leased from Eminex),?,Tallinn - Kardla,Antonov AN-28,ES-NOV,1AJ003-03,17,14,3,2,2,0,0,The plane crashed into a marshy forested area about 2 kilometer short of its destination at Kardla Airport. Several errors by the pilot.,2001,11.76
4378,2002-02-15,06:08,"Monrovia, Liberia",Tiramavia,?,?,Antonov 12BP,ER-ADL,4342610,10,3,7,1,0,1,0,The cargo plane crashed while attempting to make an emergency landing.,2002,10.0
4381,2002-03-09,13:40,"Monte Rotondo, Italy",Svedijos Prekés,2801,"Budapest, Hungary - Tunis, Tunisia",Antonov 2TP,LY-AVD,1G137-53,3,1,2,3,1,2,0,"While en route the cargo plane impacted the side of a mountain at an altitude of 6,167 ft.  Pilot error. The crew did not conform to the VFR that required a track change to maintain the required flight parameters and/or a diversion to a suitable alternate airport.",2002,100.0
4382,2002-03-14,16:30,"Near Placetas, Cuba",Charter - Aerotaxi,?,Cienfuegos -- Cayo Coco,Antonov AN-2,CU-T1020,?,17,15,2,17,15,2,0,"While en-route, 35 minutes into the flight, the bi-plane crashed near Santa Clara. The plane was seen spinning out of control before it hit the ground. A strong gust of wind, possibly a small tornado, tore off the top part of the left wing.",2002,100.0
4386,2002-04-19,09:15,"Popayán, Colombia",SELVA Colombia,?,Medellín - Popayán,Antonov AN-32A,HK-4171X,2508,8,5,3,3,3,0,0,"The plane was being used by the Penitentiary and Prison National Institute, Inpec, to fly prisoners from Medellín to Popayán. The aircraft had just finished flying 50 prisoners to Popayán when it took off from Popayán to pick up more prisoners. The aircraft nosed into the ground shortly after becoming airborne.",2002,37.5
4408,2002-08-29,11:58,"Near Ayan, Russia",Vostok Aviakompania,HH-359,Khabarovsk - Ayan,Antonov AN-28,RA-28932,1A-J008-19,16,14,2,16,14,2,0,The twin prop plane crashed into a cliff in dense fog as it prepared to land at Ayan. ATC lost contact with the aircraft 12 minutes before it was scheduled to land.  The crew made four attempts to land before disappearing off radar. Crew error.,2002,100.0
4421,2002-12-23,19:30,"Near Isfanan, Iran",Aeromist-Kharkiv,2137,"Kharkiv, Ukraine - Trabzon, Turkey - Isfanan, Iran",Antonov AN-140,UR-14003,0204,44,38,6,44,38,6,0,"While descending to land at Isfanan, the Ukrainian passenger plane crashed in a mountainous area  70 km from Isfanan after losing contact with ground controllers. Improper use of the Global Positioning System by the pilot. The passengers were aerospace scientists and executives.",2002,100.0
4427,2003-01-17,00:00,"Near Ndjolé, Gabon",Aerocom,?,Brazzaville - Douala,Antonov 24B,ER-AFT,89901508,7,5,2,7,5,2,0,"On a positioning flight the plane, over Gabon, had problems with its navigation equipment, circled the airport 4 times before crashing into a wooded hillside.",2003,100.0
4430,2003-02-07,00:00,"Near Agadir, Morocco",Volare Aviation Enterprise,?,Agadir - Algiers,Antonov 12BP,UR-LIP,9346405,8,0,8,8,0,8,0,"Crashed in the Atlas mountain range at 9,900 feet while en route.",2003,100.0
