Unnamed: 0,fecha,HORA declarada,Ruta,OperadOR,flight_no,route,ac_type,registration,cn_ln,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,_year,fallecidos_porcentaje
4742,2009-08-26,05:00,"Nganga Lingolo, Congo",Aero Fret Business,?,Pointe Noire - Brazzaville,Antonov An-12BK,TN-AIA,6344607,7,2,5,7,2,5,0,"The cargo plane crashed 7 miles SE of Brazzaville into a cemetery, short of the runway, while on approach to land. Reports indicate the rear of the plane had been on fire and the aircraft broke up before it hit the ground.",2009,100.0
4763,2010-04-21,21:10,"Pampanga, Philippines",Interisland Airlines,?,Cebu - Pampanga,Antonov An-12BP,UP-AN216,402001,6,0,6,3,0,3,0,"An electrical fire forced the cargo plane's pilot to attempt an emergency landing in a rice field when the plane crashed, broke into pieces, and burst into flames.",2010,50.0
4774,2010-08-03,01:19,"Igarka, Russia",Katekavia Airline,KYU9357,Karsnoyarsk - Igarka,Antonov An-24 V,RA-46524,47310003,15,12,3,12,11,1,0,"The plane crashed while on approach to Igarka Airport in adverse weather conditions. Crew tried to land in below weather minimums. Execution of an approach in conditions worse than the weather minima of the airfield, aircraft, and pilot. The failure of the crew to take a timely decision for a missed approach when the plane descended below the minimum safe height in the absence of reliable visual contact with approach lights and runway lights. This caused the aircraft to strike trees and the ground in controlled flight.",2010,80.0
4800,2011-03-21,15:30,"Pointe-Noire, Congo",Trans Air Cargo,?,Brazzaville - Pointe Noire,Antonov 12BP,TN-AGK,402006,9,5,4,9,5,4,14,The cargo plane was approaching Runway 17 at Pointe-Noire Airport when it crashed in the Mvou Mvou residential area and was destroyed.,2011,100.0
4809,2011-07-11,11:55,"Near Strezhevoy, Russia",Angara Airlines,5007,Tomsk - Surgut,Antonov An-24RV,RA-47302,57310302,37,33,4,7,7,0,0,"After reporting an engine fire in the left engine, the pilot attempted to make an emergency landing at Strezhevoy but ditched into the Orb River. Both pilots were not certified to fly. The captain's license was revoled and the first officer had not finished his requalification exam.",2011,18.92
4814,2011-08-09,14:34,"Near Omsukchan, Russia",Avis Amur,LN-9209,Magdan - Keperveem,Antonov 12,RA-11125,3341006,11,2,9,11,2,9,0,"After leaving Magdan the crew of the cargo plane reported a fuel leak and an engine fire. While trying to return to Magdan, the plane crashed 6 miels from Omsukchan, 190 miles from its original take-off point. The plane carried 18 tons of cargo.",2011,100.0
4831,2012-01-30,08:45,"Namoya, Congo",TRACEP Congo Aviation,?,Bukavu - Namoya,Antonov AN-28,9Q-CUN,1AJ006-11,5,3,3,3,1,2,0,"The cargo plane was on approach to land when it crashed in a forest 10km from Namoya.  The airworthiness of this aircraft had expired on June 12, 1993.",2012,60.0
4842,2012-06-11,00:00,"Near Serov, Russia",Illegal flight,?,?,Antonov An-2R,RA-40312,1G221-48,13,12,1,13,12,1,0,"The plane disappeared after being taken on an illegal flight. A group of people were having a party at the airfield near the city of Serov, Russia. They  managed to illegally steal an An-2 plane parked at the airfield. The plane went missing and was found on April 4, 2013, 8 km from Serov. Among those killed were the Chief of Serov city police, three police inspectors, the guard of the airport, a private company guard, a pensionist, a young unemployed man and a local mobile shop owner. The pilot was intoxicated at the time of the accident.",2012,100.0
4845,2012-08-19,08:00,"Talodi, Sudan",Alfa Airlines,?,Khartoum - Talodi,Antonov An-26-100,ST-ARL,2606,32,26,6,32,26,6,0,"After an aborted landing, the plane flew into a slope of the Nuba mountains while on approach and attempting to land at Talodi air strip. There was a dust storm in the area at the time. All 26 passengers and crew of 6 were killed including 2 Sudanese ministers.",2012,100.0
4846,2012-09-12,12:28,"Near Palana, Russia",Petropavlovsk-Kamchatsky Air Enteprise,261,Petropavlovsk-Kamchatsky - Palana,Antonov An-28,RA-28715,25-1AJ006,14,12,2,10,8,2,0,"Crashed in a cedar forest, 6 miles from Palana Airport while on approach. There were heavy storm clouds and poor weather at the time of the accident. Both pilots were found to be intoxicated.",2012,71.43
